Tanggal,Terakhir
1/6/2024,"2.260,48"
1/5/2024,"2.243,16"
1/4/2024,"2.244,51"
1/3/2024,"2.194,62"
1/2/2024,"2.185,10"
1/1/2024,"2.200,69"
1/12/2023,"2.167,73"
1/11/2023,"2.172,63"
1/10/2023,"2.170,23"
1/9/2023,"2.115,86"
1/8/2023,"2.097,25"
1/7/2023,"2.110,46"
1/6/2023,"2.066,65"
1/5/2023,"2.106,88"
1/4/2023,"2.121,30"
1/3/2023,"2.181,82"
1/2/2023,"2.198,49"
1/1/2023,"2.218,26"
1/12/2022,"2.255,80"
1/11/2022,"2.216,43"
1/10/2022,"2.135,04"
1/9/2022,"2.138,79"
1/8/2022,"2.153,28"
1/7/2022,"2.198,63"
1/6/2022,"2.222,97"
1/5/2022,"2.185,09"
1/4/2022,"2.193,22"
1/3/2022,"2.266,00"
1/2/2022,"2.276,51"
1/1/2022,"2.260,47"
1/12/2021,"2.240,53"
1/11/2021,"2.249,95"
1/10/2021,"2.211,04"
1/9/2021,"2.219,26"
1/8/2021,"2.207,86"
1/7/2021,"2.237,70"
1/6/2021,"2.244,57"
1/5/2021,"2.240,59"
1/4/2021,"2.230,46"
1/3/2021,"2.215,61"
1/2/2021,"2.198,45"
1/1/2021,"2.180,23"
1/12/2020,"2.150,60"
1/11/2020,"2.140,75"
1/10/2020,"2.184,21"
1/9/2020,"2.184,92"
1/8/2020,"2.125,70"
1/7/2020,"2.082,89"
1/6/2020,"2.006,82"
1/5/2020,"2.041,40"
1/4/2020,"2.098,55"
1/3/2020,"2.300,89"
1/2/2020,"2.050,53"
1/1/2020,"1.967,74"
1/12/2019,"1.992,94"
1/11/2019,"2.004,52"
1/10/2019,"1.992,87"
1/9/2019,"1.984,89"
1/8/2019,"1.980,64"
1/7/2019,"2.035,15"
1/6/2019,"2.056,46"
1/5/2019,"2.065,93"
1/4/2019,"2.115,04"
1/3/2019,"2.120,54"
1/2/2019,"2.099,42"
1/1/2019,"2.083,27"
1/12/2018,"2.088,93"
1/11/2018,"2.053,06"
1/10/2018,"2.178,40"
1/9/2018,"2.168,94"
